vehicle,year,accelrate,mpg,mpgmpge,msrp
ML450 4natic,2010,12.99,22,22,55164.33
Silverado 15 2WD,2010,11.76,22,22,38454.56
S400,2010,12.99,21,21,88212.78
Aqua,2011,9.35,50,50,22850.87
Lexus CT200h,2011,9.71,42,42,30082.16
Civic (3rd Gen),2011,9.6,44.36,44.36,24999.59
Prius alpha (V),2011,10,72.92,72.92,30588.35
3008,2011,11.36,61.16,61.16,45101.54
Fit Shuttle,2011,7.52,58.8,58.8,16394.36
Buick Regal,2011,12.05,25.99,25.99,27948.93
Prius V,2011,9.51,32.93,32.93,27272.28
Freed/Freed Spike,2011,6.29,50.81,50.81,27972.07
Optima K5,2011,10.54,36,36,26549.16
Escape FWD,2011,12.35,32,32,30661.34
Insight,2011,9.52,41,41,18254.38
MKZ FWD,2011,11.49,39,39,34748.52
CR-Z,2011,12.2,37,37,19402.8
Sonata,2011,11.9,36,36,25872.07
Camry,2011,13.89,33,33,27130.82
Tribute 2WD,2011,12.5,32,32,26213.09
Cayenne S,2011,18.52,21,21,67902.28
Touareg,2011,16.13,21,21,50149.39
ActiveHybrid 7i,2011,18.18,20,20,102605.66
Prius C,2012,9.35,50,50,19006.62
Prius PHV,2012,8.82,50,95,32095.61
Ampera,2012,11.11,37,98,31739.55
ActiveHybrid 5,2012,16.67,26,26,62180.23
Lexus GS450h,2012,16.95,31,31,59126.14
Insight,2012,9.42,42,42,18555.28
Chevrolet Volt,2012,11.11,37,94,39261.96
Camry LE,2012,13.16,41,41,26067.66
MKZ FWD,2012,11.49,39,39,34858.84
M35h,2012,19.23,29,29,53860.45
LaCrosse,2012,11.36,29,29,30049.52
ActiveHybrid 5,2012,17.54,26,26,61132.11
Panamera S,2012,17.54,25,25,95283.85
Yukon 1500,2012,13.5,21,21,52626.77
Prius C,2013,8.7,50,50,19080
Jetta,2013,12.66,45,45,24995
Civic,2013,10.2,44,44,24360
Prius,2013,10.2,50,50,24200
Fusion FWD,2013,11.72,47,47,27200
C-Max FWD,2013,12.35,43,43,25200
Insight,2013,11.76,42,42,18600
Camry LE,2013,13.51,41,41,26140
Camry LXLE,2013,13.33,40,40,27670
Sonata,2013,11.76,38,38,25650
Optima,2013,11.63,38,38,25900
Sonata Limited,2013,11.76,37,37,30550
Optima EX,2013,11.36,37,37,31950
Malibu,2013,11.49,29,29,24985
LaCrosse,2013,11.36,29,29,31660
Regal,2013,12.2,29,29,29015
RX 450h,2013,12.99,30,30,46310
Highlander 4WD,2013,13.89,28,28,40170
Q5,2013,14.71,26,26,50900
Cayenne S,2013,16.39,21,21,69850
Touareg,2013,16.13,21,21,62575
Escalade 2WD,2013,11.63,21,21,74425
Tahoe 2WD,2013,11.9,21,21,53620
Yukon 1500,2013,11.88,21,21,54145
Yukon 1500,2013,13.33,21,21,61960
MKZ FWD,2013,14.03,45,45,35925
CT 200h,2013,10.31,42,42,32050
ES 300h,2013,12.35,40,40,39250
ILX,2013,9.26,38,38,28900
ActiveHybrid 3,2013,14.93,28,28,49650
Silverado 15 2WD,2013,12.35,21,21,41135
Sierra 15 2WD,2013,10,21,21,41555
GS 450h,2013,16.67,31,31,59450
M35h,2013,19.61,29,29,54750
E400,2013,14.93,26,26,55800
ActiveHybrid 5,2013,12.99,26,26,61400
ActiveHybrid 7L,2013,18.18,25,25,84300
Panamera S,2013,18.52,25,25,96150
S400,2013,13.89,21,21,92350
Prius Plug-in,2013,9.17,50,95,32000
C-Max Energi Plug-in,2013,11.76,43,100,32950
Fusion Energi Plug-in,2013,11.76,43,100,38700
Chevrolet Volt,2013,11.11,37,98,39145
